ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,MDL,DDL,AL,Age,Original_Taxon,Clade,Clade2,Combined_clade,Tooth_position,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_Lat_PBDB,P_long_PBDB,P_Lat_Gplates,P_Long_Gplates,P_lat,P_Lon,Locality,Notes
1,NHMUK PV R 36769,NA,NA,NA,NA,6.16,NA,0.162337662,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
2,NHMUK PV R 36770,1.19,NA,NA,NA,12.58,NA,0.079491256,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
3,NHMUK PV R 36771,2.38,3.37,1.2,10,7.7,0.1,0.12987013,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
4,NHMUK PV R 36772,1.33,2.69,0.86,NA,9.5,NA,0.105263158,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
5,NHMUK PV R 36773,NA,NA,NA,18.1,14.9,0.06,0.067114094,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
6,NHMUK PV R 36774,1.45,2.58,0.88,NA,14.7,NA,0.068027211,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
7,NHMUK PV R 36775,1.15,2.3,0.75,NA,14.4,NA,0.069444444,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
8,NHMUK PV R 36776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
9,NHMUK PV R 36777,NA,NA,NA,NA,9.05,NA,0.110497238,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
10,NHMUK PV R 36778,1.94,4.1,1.74,5.78,6.36,0.17,0.157232704,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
11,NHMUK PV R 36779,1.27,2.16,0.72,15.2,13,0.07,0.076923077,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
12,NHMUK PV R 36780,1.66,3.17,0.82,NA,NA,NA,NA,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
13,NHMUK PV R 36781,NA,NA,NA,NA,10,NA,0.1,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
14,NHMUK PV R 36782,0.97,1.86,0.45,NA,11.1,NA,0.09009009,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
15,NHMUK PV R 36783,NA,NA,NA,NA,9,NA,0.111111111,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
16,NHMUK PV R 36787,NA,NA,NA,NA,NA,NA,NA,NA,NA,Watton Cliff,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,Forest Marble,discus zone,165.5,165.3,165.4,50.7150508,-2.77618717,NA,NA,27.72,18.45,27.72,18.45,Watton Cliff,Age based on discus zone
17,WD19,1.16,2.53,0.71,NA,11.11111111,NA,0.09,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
18,WD20,1.81,2.95,0.72,NA,9.615384615,NA,0.104,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
19,WD21,1.96,2.96,0.65,12,8.695652174,0.08,0.115,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
20,WD22,2.89,4.5,1.49,NA,8.333333333,NA,0.12,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
21,WD23,2.18,5.12,1.81,9.68,5.681818182,0.1,0.176,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
22,WD24,1.65,2.5,0.83,7.14,6.756756757,0.14,0.148,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
23,WD25,2.39,6.03,2.26,8.47,8.333333333,0.12,0.12,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
24,WD27,3.65,8.13,2.36,NA,7.142857143,NA,0.14,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
25,WD29,1.4,1.98,0.7,0,8.641975309,0,0.115714286,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
26,WD31,1.28,2.9,0.94,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
27,WD37,0.94,1.97,0.58,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
28,WD43,4.35,7.4,1.71,11.11,5.681818182,0.09,0.176,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
29,WD59,1.04,1.76,0.56,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
30,WD60,1.05,1.89,0.57,NA,12.19512195,NA,0.082,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
31,WD61,1.6,2.56,0.89,15.38,16.66666667,0.07,0.06,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
32,WD62,1.43,1.66,0.72,9.09,10.41666667,0.11,0.096,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
33,WD63,1.27,2.35,0.75,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
34,WD64,1.42,2.63,0.81,5.71,3.921568627,0.18,0.255,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
35,WD65,1.6,2.39,0.86,0,3.51758794,0,0.284285714,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
36,WD66,1.45,2.21,0.82,0,5.172413793,0,0.193333333,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
37,WD67,1.14,2.6,0.71,0,5.833333333,0,0.171428571,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
38,WD69,2.41,4.21,1.1,0,3.804347826,0,0.262857143,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
39,WD70,1.96,3.78,0.85,6.25,3.289473684,0.16,0.304,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
40,WD71,2.95,4.54,1.48,0,3.153153153,0,0.317142857,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
41,WD72,1.82,2.99,0.93,NA,4.545454545,NA,0.22,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
42,WD73,1.72,3.66,1.18,0,4.347826087,0,0.23,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
43,WD74,1.93,5.07,1.16,0,4.04040404,0,0.2475,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
44,WD75,2.5,5.76,1.75,0,3.225806452,0,0.31,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
45,WD76,3.11,5.57,1.87,4.88,2.651515152,0.21,0.377142857,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
46,WD77,1.4,3.2,0.98,0,3.614457831,0,0.276666667,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
47,WD78,1.6,2.89,1.28,NA,5.035971223,NA,0.198571429,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
48,WD79,1.85,2.38,0.96,0,4.21686747,0,0.237142857,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
49,WD80,1.98,2.76,1.1,5.56,7.142857143,0.18,0.14,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
50,WD81,1.87,2.72,1.14,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
51,WD92,1.72,2.31,0.85,0,0,0,0,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
