ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,MDL,DDL,AL,Age,Original_Taxon,Clade,Clade2,Combined_clade,Tooth_position,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_Lat_PBDB,P_long_PBDB,P_Lat_Gplates,P_Long_Gplates,P_lat,P_Lon,Locality,Notes
52,WD93,1.49,2.7,0.73,5.56,4.242424242,0.18,0.235714286,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
53,WD95,1.31,2.61,0.73,0,5.263157895,0,0.19,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
54,WD119,1.42,4.08,0.87,0,15.2173913,0,0.065714286,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
55,W2M1 (Sudders theropod),2.705,5.272,1.39,0,9.090909091,0,0.11,NA,NA,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,NA,NA,29.04,19.3,29.04,19.3,Woodeaton,retrocostatum zone
56,JR1,11.59,27.19,7.61,2.54,2.717391304,0.39,0.368,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
57,JR10,1.98,4.62,1.45,NA,7.142857143,NA,0.14,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
58,JR12,2.39,3.81,1.59,0,8.421052632,0,0.11875,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
59,JR13,1.99,2.85,0.72,0,8.510638298,0,0.1175,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
60,JR14,1.77,3.06,0.66,9.68,8.450704225,0.1,0.118333333,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
61,JR15,0.81,NA,0.38,0,14.28571429,0,0.07,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
62,JR16,0.88,1.45,0.54,0,18.18181818,0,0.055,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
63,JR17,1.87,2.75,1.58,8.51,9.090909091,0.12,0.11,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
64,JR18,2,2.76,1.39,8.33,9.89,0.12,0.101112235,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
65,JR19,1.46,2.68,1.27,NA,11.44626986,NA,0.087364706,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
66,JR2,14.54,30,7.57,2.6,2.621722846,0.38,0.381428571,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
67,JR20,1.97,NA,1.16,NA,9.302325581,NA,0.1075,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
68,JR22,1.35,2.21,0.85,12,9.756097561,0.08,0.1025,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
69,JR23,2.08,2.9,1.24,12.05,9.411764706,0.08,0.10625,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
70,JR24,1.66,NA,1.01,14.29,10.90909091,0.07,0.091666667,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
71,JR26,2.66,NA,1.3,6.98,5.681818182,0.14,0.176,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
72,JR27,3.31,4.98,1.66,5.81,4.95049505,0.17,0.202,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
73,JR28,1.7,NA,0.89,13.33,9.375,0.08,0.106666667,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
74,JR29,2.05,5.2,1.21,14.89,7.777777778,0.07,0.128571429,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
75,JR3,2.23,4.85,1.42,NA,4.073319756,NA,0.2455,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
76,JR30,4.09,8.77,1.86,9.09,6.711409396,0.11,0.149,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
77,JR31,3.08,4.82,1.54,9.09,6.52173913,0.11,0.153333333,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
78,JR32,0.98,2.2,0.71,NA,9.756097561,NA,0.1025,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
79,JR34,1.53,3.12,0.9,0,0,0,0,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
80,JR35,1.95,3.27,1.07,9.09,7.079646018,0.11,0.14125,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
81,JR37,0.61,0.87,0.35,18.75,17.4,0.05,0.057471264,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
82,JR38,1.77,4.74,1.03,8.33,7.368421053,0.12,0.135714286,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
83,JR39,2,NA,1.15,NA,9.210526316,NA,0.108571429,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
84,JR4,8.9,19,3.9,6.44,4.849421189,0.16,0.206210177,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
85,JR40,1.31,1.78,0.65,16.67,11.42857143,0.06,0.0875,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
86,JR41,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
87,JR42,NA,4.24,0.81,8.89,6.666666667,0.11,0.15,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
88,JR5,5.7,NA,2.47,5.52,4.117647059,0.18,0.242857143,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
89,JR7,2.18,3.08,0.74,NA,10.22727273,NA,0.097777778,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
90,JR8,1.65,NA,1.36,9.09,6.060606061,0.11,0.165,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
91,JR9,5.03,NA,2.28,NA,7.692307692,NA,0.13,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
92,K14,0.97,2.04,0.57,0,12.5,0,0.08,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
93,K15,0.91,1.8,0.48,0,15.09433962,0,0.06625,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
94,K16,0.85,1.5,0.65,0,13.51351351,0,0.074,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
95,K170,1.53,2.86,0.83,0,9.722222222,0,0.102857143,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
96,K254,1.49,3.56,1.15,NA,8.695652174,NA,0.115,NA,NA,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,NA,NA,29.07,19.21,29.07,19.21,Kirtlington,Age placed at base of discus zone
97,GCM_10-2,1.89,3.07,0.91,NA,10.30927835,NA,0.097,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
98,GCM_10-37,2.93,4.86,1.55,13.64,8.333333333,0.07,0.12,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
99,GCM_100-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
100,GCM_100-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
101,GCM_100-14,2.44,3.79,1.2,0,8.620689655,0,0.116,NA,NA,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,NA,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,NA,NA,29.46,19.34,29.46,19.34,Hornsleasow,Age range based on zigzag zone
