"","GroupID","SPECID","CBL","CH","CBW","ADM","PDM","class","prob.Abelisauridae","prob.Allosauridae","prob.Carcharodontosauridae","prob.Dromaeosaur.Morphotype.1","prob.Dromaeosaur.Morphotype.2","prob.Dromaeosaur.Morphotype.3","prob.Megalosauridae","prob.Metriacanthosauridae","prob.Neotheropoda","prob.Neovenatoridae","prob.Noasauridae","prob.Non_abelisauroid_Ceratosauria","prob.Non_averostran_Neotheropoda","prob.Non_megalosauran_Megalosauroidea","prob.Non_tyrannosaurid_Tyrannosauroidea","prob.Proceratosauridae.","prob.Spinosauridae.Morphotype.1","prob.Therizinosauria","prob.Troodontidae","prob.Tyrannosauridae.Morphotype.1","prob.Tyrannosauridae.Morphotype.2","prob.Tyrannosauridae.Morphotype.3","prob.Tyrannosauridae.pmx.Morphotype.1"
"1","Madagascar","MSNM V5778", 0.459849518, 0.769954915, 0.67107210,-0.302138297,-0.25458214,"Abelisauridae",0.3530,0.0610,0.0000,0.0000,0.2835,0.0005,0.0310,0.0000,0.0000,0.0055,0.0000,0.0025,0.0000,0.0020,0.0005,0.0000,0.0000,0.0000,0.1200,0.0340,0.0005,0.1050,0.0010
"2","Madagascar","MSNM V5779", 0.809558006, 0.737762154, 0.51606522,-0.378988845,-0.34080535,"Abelisauridae",0.4725,0.0185,0.0000,0.0005,0.2015,0.0000,0.0300,0.0000,0.0000,0.0015,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1195,0.0325,0.0040,0.1160,0.0010
"3","Madagascar","MSNM V5781",-0.072003064,-0.219618702,-0.06533875, 0.126596576, 0.07723576,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0020,0.9415,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0040,0.0000,0.0325,0.0000
"4","Madagascar","MSNM V5782", 0.437321721, 0.251469278, 0.35747994,-0.110768339,-0.03987277,"Dromaeosaur.Morphotype.2",0.0940,0.0105,0.0000,0.0015,0.6380,0.0000,0.0025,0.0000,0.0000,0.0045,0.0000,0.0005,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0035,0.1170,0.0030,0.1230,0.0005
"5","Madagascar","MSNM V5784", 0.280387984, 0.197876302, 0.13074709, 0.040684972, 0.13005173,"Dromaeosaur.Morphotype.2",0.0580,0.0040,0.0000,0.0010,0.7990,0.0015,0.0005,0.0000,0.0000,0.0005,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,0.0805,0.0005,0.0495,0.0000
"6","Madagascar","MSNM V5785",-0.038649201, 0.447252062, 0.08459378, 0.448871851, 0.27068773,"Dromaeosaur.Morphotype.2",0.0090,0.0000,0.0000,0.0000,0.8950,0.0100,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0060,0.0555,0.0000,0.0225,0.0000
"7","Madagascar","MSNM V5787",-0.072003064, 0.170005277, 0.06084706, 0.166033509,-0.03987277,"Dromaeosaur.Morphotype.2",0.0035,0.0000,0.0000,0.0010,0.9200,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0110,0.0030,0.0000,0.0570,0.0000
"8","Madagascar","MSNM V5788",-0.141428161,-0.023514763,-0.20605904, 0.239034942, 0.22644108,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9615,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0060,0.0005,0.0000,0.0310,0.0000
"9","Madagascar","MSNM V5789", 0.227970440, 0.386003917, 0.13074709,-0.006389785,-0.17658375,"Dromaeosaur.Morphotype.2",0.1275,0.0045,0.0000,0.0005,0.6385,0.0020,0.0015,0.0000,0.0000,0.0010,0.0000,0.0005,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.1650,0.0195,0.0000,0.0380,0.0000
"10","Madagascar","MSNM V5790",-0.141428161,-0.283197752,-0.33159661, 0.203447124, 0.13005173,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9895,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0005,0.0000,0.0010,0.0000
"11","Madagascar","MSNM V5791",-0.159387216, 0.058270294, 0.13074709,-1.180322779,-0.03987277,"Dromaeosaur.Morphotype.1",0.0380,0.0060,0.0000,0.4195,0.1420,0.0000,0.0010,0.0000,0.0070,0.0025,0.0340,0.0005,0.0045,0.0045,0.0250,0.0350,0.0005,0.0000,0.2310,0.0120,0.0000,0.0365,0.0005
"12","Madagascar","MSNM V5792", 0.116243350, 0.177043496, 0.06084706, 0.126596576,-0.10537681,"Dromaeosaur.Morphotype.2",0.0150,0.0035,0.0000,0.0005,0.9140,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0160,0.0005,0.0375,0.0000
"13","Madagascar","MSNM V5794",-0.196076898,-0.112298184,-0.09221714, 0.394817082, 0.46186963,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9405,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0090,0.0075,0.0000,0.0415,0.0000
"14","Madagascar","MSNM V5795",-0.177601018, 0.119354580, 0.06084706, 0.239034942, 0.02077450,"Dromaeosaur.Morphotype.2",0.0030,0.0000,0.0000,0.0040,0.9210,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0125,0.0080,0.0000,0.0480,0.0000
"15","Madagascar","MSNM V5796",-0.022291636, 0.050375706,-0.01329185, 0.203447124, 0.02077450,"Dromaeosaur.Morphotype.2",0.0005,0.0000,0.0000,0.0010,0.9395,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0040,0.0000,0.0455,0.0000
"16","Madagascar","MSNM V5798",-0.141428161,-0.093923663,-0.20605904, 0.084904910, 0.07723576,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0000,0.9150,0.0005,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0010,0.0000,0.0765,0.0000
"17","Madagascar","MSNM V5799", 0.145099654, 0.026325209,-0.11969958, 0.126596576, 0.02077450,"Dromaeosaur.Morphotype.2",0.0215,0.0020,0.0000,0.0005,0.9155,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0025,0.0000,0.0000,0.0000,0.0105,0.0180,0.0005,0.0215,0.0000
"18","Madagascar","MSNM V5800", 0.915603443, 0.611905235, 0.78232308,-0.056713570,-0.17658375,"Dromaeosaur.Morphotype.2",0.2285,0.0040,0.0000,0.0000,0.3905,0.0000,0.0310,0.0000,0.0000,0.0010,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0410,0.1090,0.0040,0.1885,0.0005
"19","Madagascar","MSNM V5806", 0.009811324,-0.159709773, 0.03663008, 0.126596576,-0.03987277,"Dromaeosaur.Morphotype.2",0.0000,0.0000,0.0000,0.0015,0.9650,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0165,0.0070,0.0000,0.0060,0.0000
"20","Madagascar","MSNM V5807", 0.227970440, 0.875363258, 0.56466436,-0.302138297,-0.25458214,"Abelisauridae",0.3200,0.1065,0.0000,0.0025,0.2540,0.0005,0.0380,0.0005,0.0000,0.0035,0.0000,0.0050,0.0000,0.0025,0.0015,0.0000,0.0000,0.0000,0.1500,0.0180,0.0005,0.0955,0.0015
"21","Madagascar","MSNM V580", 0.379209926, 0.564709228, 0.06084706,-0.056713570,-0.10537681,"Dromaeosaur.Morphotype.2",0.0780,0.0085,0.0000,0.0025,0.7765,0.0040,0.0020,0.0000,0.0000,0.0040,0.0000,0.0005,0.0000,0.0005,0.0020,0.0000,0.0000,0.0000,0.0045,0.0560,0.0000,0.0610,0.0000
"22","Madagascar","MSNM V580", 0.305815578, 0.397412090, 0.29969356,-0.302138297,-0.25458214,"Dromaeosaur.Morphotype.2",0.3440,0.0190,0.0000,0.0015,0.3625,0.0000,0.0030,0.0000,0.0000,0.0085,0.0000,0.0005,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.1885,0.0290,0.0010,0.0385,0.0010
"23","Madagascar","MSNM V5810", 0.448635023, 0.616508938, 0.19686684,-0.006389785,-0.10537681,"Dromaeosaur.Morphotype.2",0.0735,0.0165,0.0000,0.0040,0.7345,0.0015,0.0040,0.0000,0.0000,0.0035,0.0000,0.0005,0.0000,0.0005,0.0025,0.0000,0.0000,0.0000,0.0030,0.0845,0.0010,0.0705,0.0000
"24","Madagascar","MSNM V5811", 0.009811324, 0.162919015, 0.01192384, 0.126596576, 0.02077450,"Dromaeosaur.Morphotype.2",0.0015,0.0000,0.0000,0.0010,0.9480,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0040,0.0000,0.0340,0.0000
"25","Madagascar","MSNM V5813", 0.254446667, 0.141365299, 0.17522172, 0.040684972,-0.10537681,"Dromaeosaur.Morphotype.2",0.0440,0.0050,0.0000,0.0005,0.8615,0.0010,0.0005,0.0000,0.0000,0.0005,0.0000,0.0005,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0070,0.0430,0.0005,0.0350,0.0000
"26","Madagascar","MSNM V5814", 0.267482835, 0.327003191, 0.23904059, 0.084904910, 0.02077450,"Dromaeosaur.Morphotype.2",0.0640,0.0045,0.0000,0.0010,0.8175,0.0005,0.0005,0.0000,0.0000,0.0005,0.0000,0.0005,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0020,0.0675,0.0010,0.0380,0.0005
"27","Madagascar","MSNM V5815",-0.022291636, 0.081600115, 0.13074709, 0.146581541,-0.03987277,"Dromaeosaur.Morphotype.2",0.0060,0.0010,0.0000,0.0010,0.9095,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0290,0.0000,0.0375,0.0000
"28","Madagascar","MSNM V5816",-0.038649201, 0.081600115, 0.08459378, 0.239034942, 0.07723576,"Dromaeosaur.Morphotype.2",0.0045,0.0000,0.0000,0.0010,0.9300,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0075,0.0155,0.0000,0.0395,0.0000
"29","Madagascar","MSNM V5817", 0.130752561, 0.170005277, 0.13074709, 0.126596576, 0.02077450,"Dromaeosaur.Morphotype.2",0.0185,0.0035,0.0000,0.0005,0.9120,0.0020,0.0005,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0045,0.0320,0.0005,0.0250,0.0000
"30","Madagascar","MSNM V5818", 0.200936778, 0.231694712, 0.10788815, 0.040684972,-0.03987277,"Dromaeosaur.Morphotype.2",0.0385,0.0025,0.0000,0.0000,0.8915,0.0015,0.0005,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0315,0.0005,0.0245,0.0000
"31","Madagascar","MSNM V5820", 0.145099654, 0.345058139, 0.53248046,-0.302138297,-0.25458214,"Abelisauridae",0.3315,0.0215,0.0000,0.0070,0.3225,0.0000,0.0025,0.0000,0.0000,0.0050,0.0000,0.0005,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.2480,0.0200,0.0015,0.0350,0.0010
"32","Madagascar","MSNM V5822",-0.375538432,-0.189232142, 0.21813551,-1.180322779, 0.02077450,"Dromaeosaur.Morphotype.1",0.0460,0.0105,0.0000,0.4985,0.1190,0.0015,0.0010,0.0000,0.0050,0.0050,0.0090,0.0000,0.0065,0.0050,0.0740,0.0200,0.0060,0.0000,0.1380,0.0210,0.0000,0.0340,0.0000
"33","Madagascar","MSNM V5823",-0.292667647,-0.006634174, 0.08459378,-1.180322779, 0.07723576,"Dromaeosaur.Morphotype.1",0.0255,0.0045,0.0000,0.5170,0.1140,0.0000,0.0000,0.0000,0.0065,0.0010,0.0420,0.0005,0.0050,0.0035,0.0180,0.0360,0.0005,0.0000,0.1740,0.0070,0.0000,0.0445,0.0005
"34","Madagascar","MSNM V5824",-0.292667647, 0.034404108, 0.10788815,-1.180322779, 0.07723576,"Dromaeosaur.Morphotype.1",0.0335,0.0055,0.0000,0.5005,0.1205,0.0000,0.0010,0.0000,0.0070,0.0015,0.0410,0.0005,0.0045,0.0045,0.0200,0.0345,0.0005,0.0000,0.1645,0.0135,0.0000,0.0465,0.0005
"35","Madagascar","MSNM V5959",-0.196076898, 0.081600115,-0.11969958, 0.239034942, 0.07723576,"Dromaeosaur.Morphotype.2",0.0005,0.0000,0.0000,0.0000,0.9325,0.0010,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0060,0.0010,0.0000,0.0580,0.0000
